idA,idB
74,2647
74,2496
74,1545
85,1120
85,3493
85,527
85,1632
85,3278
85,2835
85,1736
85,575
85,3373
85,3781
85,1654
85,3331
85,2703
85,4015
85,3212
85,899
85,297
85,1280
85,3194
85,2924
85,1574
86,2302
86,2816
86,976
86,3517
86,360
86,3262
86,1577
86,3051
86,260
86,2924
86,3332
86,3292
86,4062
86,2748
86,2497
86,3391
86,3211
86,2689
86,1786
86,2801
88,1336
88,3488
88,3209
88,2652
88,1307
88,1052
88,3926
94,3361
94,2726
94,2511
94,1532
94,2271
94,3201
94,133
94,957
94,1773
94,3488
94,1573
94,3742
94,2494
94,266
94,1307
94,3209
94,2967
94,520
94,4052
95,2704
95,220
95,1673
95,919
95,2392
95,1394
95,3757
95,2296
95,2400
95,3417
95,3931
95,414
95,1919
95,3885
95,1522
95,1532
95,4035
95,2543
95,3443
95,3835
98,3227
98,1259
98,2748
98,171
98,883
98,1033
98,543
98,3181
98,1838
98,843
98,1726
98,2429
98,2989
98,2441
98,3132
98,598
98,1825
98,480
98,2969
98,2801
98,1979
98,899
98,1264
101,2988
101,1244
101,3213
101,3523
101,1104
101,790
101,2807
101,3821
101,2029
101,2648
101,3302
101,3353
101,3994
101,3949
101,991
108,3985
108,2203
108,869
108,3544
108,3835
108,2346
108,1522
108,2583
108,1532
108,3871
108,1285
108,3126
108,2317
108,239
108,2633
108,1935
108,1841
108,447
108,2288
110,2522
110,1838
110,2703
110,3373
110,1592
110,638
110,1247
110,3212
110,3636
110,2443
110,2969
110,297
110,1950
110,1699
110,1164
110,1155
110,3963
110,2911
110,1979
110,2801
110,2827
110,1632
110,570
110,1726
115,1487
115,1134
115,728
115,2443
115,1718
115,3258
115,1101
115,1926
115,2835
115,1482
115,2078
115,2711
115,1698
115,939
115,3226
115,3345
115,2311
120,3654
120,2178
120,3658
120,670
120,921
120,803
120,2785
120,1681
120,1425
120,2107
120,3106
120,3378
120,3442
120,504
120,297
120,954
120,2173
120,3908
124,3107
124,2647
124,3312
124,1117
124,1038
124,2496
124,2303
124,2869
124,920
124,174
124,3213
124,3205
124,633
124,3007
124,729
124,642
124,3994
124,2705
143,3561
143,1953
143,2440
143,912
143,3131
143,2983
143,3488
143,3408
143,3470
143,3099
143,521
143,2364
143,1165
143,404
143,2474
146,3732
146,3392
146,1826
146,1535
146,1185
146,2887
146,2137
146,3741
146,3335
146,3393
146,3981
146,2252
146,1598
146,1385
146,2639
146,3253
146,3350
146,4064
146,2133
156,1987
156,3160
156,2274
156,2461
156,2617
156,1616
156,1490
156,516
156,701
156,2541
156,3576
156,1464
156,3657
156,3550
156,4036
156,1210
156,1548
163,1739
163,59
163,1043
163,3576
163,3154
163,3097
163,3550
163,2274
163,2404
163,3936
163,695
163,2167
163,2467
163,1578
163,19
163,3727
163,1464
163,2064
