id,title,artist,idSpotify,preview,genre,energy,cover,bpm,date
234,Cómo Hacer Que Vuelvas,Marwán,4dSjkydvur8ME9U9JgmGSz,https://p.scdn.co/mp3-preview/c39c31a8df1720c0cd25ab74948ed7b2a6e78a4f?cid=dc103043f05746ba809bc490afdc3fe6,egyptian hip hop,69.8,https://i.scdn.co/image/ab67616d0000b27399683fb8f881a61d056503cd,110.106,2017-09-01
235,Always On Time (feat. Ashanti),Ja Rule,1OFiiULo1op1n4Hh8siCSU,https://p.scdn.co/mp3-preview/2533c514dbb2841df87bcb6ebd5cf4f16765f13e?cid=dc103043f05746ba809bc490afdc3fe6,dance pop,70.7,https://i.scdn.co/image/ab67616d0000b273eacaedbdc3a0928680314d37,94.981,2009-09-21
236,El Baile,IZAL,1t9xsch2D9URgAFWuE7kc8,https://p.scdn.co/mp3-preview/8f5baa89dd55b6b9fd8930d0c2d39375821e9eb0?cid=dc103043f05746ba809bc490afdc3fe6,cantautor,85.0,https://i.scdn.co/image/ab67616d0000b273b642ea726261181fc4024817,149.946,2015-09-18
237,The Box,Roddy Ricch,13ePOc9tAreprqcvLXVRns,https://p.scdn.co/mp3-preview/17ce09393e6d31ae5aca9a5a0817934b7ac95977?cid=dc103043f05746ba809bc490afdc3fe6,melodic rap,58.599999999999994,https://i.scdn.co/image/ab67616d0000b27325d5381411f60495adeb61e8,116.972,2021-12-31
238,Felices los 4,Maluma,1RouRzlg8OKFeqc6LvdxmB,https://p.scdn.co/mp3-preview/ea9a6f1dd1f966628ffb51723ca2823e276517b1?cid=dc103043f05746ba809bc490afdc3fe6,reggaeton,75.6,https://i.scdn.co/image/ab67616d0000b2739fa9c0acaf11becc12d22300,94.027,2018-05-18
239,Ten Feet Tall (feat. Wrabel),Afrojack,7ePpy73TCKzEqKerrjTS1s,null,edm,90.4,https://i.scdn.co/image/ab67616d0000b273285504630c08d4e168256f26,128.012,2014-01-01
240,Last Resort,Papa Roach,5W8YXBz9MTIDyrpYaCg2Ky,null,alternative metal,89.0,https://i.scdn.co/image/ab67616d0000b273985bf5ede2fe4a048ee85f28,90.598,2001-04-25
241,Oye niña,Xriz,0OAU6Sht5HOWhkoZ8aLEuU,https://p.scdn.co/mp3-preview/ca4748c5878bb22fb96652004db7e46da149a81e?cid=dc103043f05746ba809bc490afdc3fe6,reggaeton,84.39999999999999,https://i.scdn.co/image/ab67616d0000b27318e6d9412d9f067f94935c79,129.967,2015-03-10
242,Firestone (Radio Edit),Kygo,3ZDLdRol9BK0iCXL3GlEi8,https://p.scdn.co/mp3-preview/622d89538a9c791de66a3aced89519cca3a74ae2?cid=dc103043f05746ba809bc490afdc3fe6,edm,57.49999999999999,https://i.scdn.co/image/ab67616d0000b273c45036d6c056eeca0cf695a5,113.973,2015-06-22
243,Que Viva la Vida,Wisin,6IqbQelrOB6nTORNj4q2Ma,https://p.scdn.co/mp3-preview/1a218b6c2a260bdbd0dc4c0dd6f5e39a6ee74925?cid=dc103043f05746ba809bc490afdc3fe6,reggaeton,92.5,https://i.scdn.co/image/ab67616d0000b273df6d428068c5a557216ae2f8,130.019,2014-03-18
245,Drop It Like It's Hot feat Pharell Williams (feat. Pharrell Williams),Snoop Dogg,70ludZZEUJy1aFVkPI0Kpi,null,g funk,62.8,https://i.scdn.co/image/ab67616d0000b273d2d885c08daccf13c6c304ce,92.063,2004-01-01
246,Moving On,Marshmello,6Ehy8wRUYjAZcMMRCxMZVM,https://p.scdn.co/mp3-preview/6753c3f099f3ec08bdcac335dc39a43d28777f0c?cid=dc103043f05746ba809bc490afdc3fe6,edm,79.9,https://i.scdn.co/image/ab67616d0000b273779b026a1fd1aa96c6deac6d,142.0,2017-05-05
247,Dior (Bonus),Pop Smoke,6PnTgx9lyvLGIcPnroCvc2,null,brooklyn drill,74.6,https://i.scdn.co/image/ab67616d0000b27377ada0863603903f57b34369,142.035,2020-07-03
248,Él no soy yo,Blas Cantó,38mCl4EuWhML4eaZPdNQ3a,https://p.scdn.co/mp3-preview/6964871301b67416356ec0f3786bf6d06c2e7d23?cid=dc103043f05746ba809bc490afdc3fe6,spanish pop,72.7,https://i.scdn.co/image/ab67616d0000b27338968dc90dc0ff8fc1d7b866,120.003,2018-09-14
249,Rayando El Sol (2020 Remasterizado),Maná,1DQdRvO5LxVtNSK9Hrr8Id,https://p.scdn.co/mp3-preview/9adad018f13df0c660d79ddaff880471e196954f?cid=dc103043f05746ba809bc490afdc3fe6,latin arena pop,76.8,https://i.scdn.co/image/ab67616d0000b273f8f0e3a51279e3c8ce026aaf,112.571,1990
250,Rayos De Sol,José De Rico,1d5obgzCOtwq9qaxfe4Hpw,https://p.scdn.co/mp3-preview/45df53c26814f9ff1a7e16f5b7c86988fbba1ccc?cid=dc103043f05746ba809bc490afdc3fe6,electro latino,87.2,https://i.scdn.co/image/ab67616d0000b2734455a921f8471028c229bd40,128.013,2011-08-08
252,Si Lo Sé Me Meo,Porretas,12t38PAD6qry9gGnA5oA3a,https://p.scdn.co/mp3-preview/504848b768c62aacf436f0f047514253555d353c?cid=dc103043f05746ba809bc490afdc3fe6,punk urbano,91.60000000000001,https://i.scdn.co/image/ab67616d0000b273ed65e10f76f91e6e3773d27d,172.884,2003-09-29
253,Macarena (Bayside Boys Remix),Los Del Rio,2df5QsXucx4VLiHNGusXD5,https://p.scdn.co/mp3-preview/3d5cc449365bc428be4082d94a3bb1ac87e03d00?cid=dc103043f05746ba809bc490afdc3fe6,tropical,93.0,https://i.scdn.co/image/ab67616d0000b273442314974e3d78b3e214cdb8,103.191,2001-03-19
254,Descuida,Albertucho,5f8T1Lbd35nauMBA3JfpJj,https://p.scdn.co/mp3-preview/d3a879c4f1ce96dfe5a953fdf2d49d87eb58d85b?cid=dc103043f05746ba809bc490afdc3fe6,punk urbano,59.9,https://i.scdn.co/image/ab67616d0000b2737b261d5adb27279a97adeb13,169.953,2004
256,Si No Te Hubieras Ido,Marco Antonio Solís,3l1ZanpJ3jFQZMqATizqfE,null,grupera,61.0,https://i.scdn.co/image/ab67616d0000b2737c7d5a10f6ed144c432be709,95.033,2011-01-01
257,La verdad,Tu otra bonita,4shokKzpidXszq87PWuaCk,https://p.scdn.co/mp3-preview/7e96aeb1d91be0a21e97e92daf78f7364015c75b?cid=dc103043f05746ba809bc490afdc3fe6,flamenco fusion,47.3,https://i.scdn.co/image/ab67616d0000b2734bce0330a51e273855945104,141.572,2021-12-23
258,Miénteme,TINI,0cOa970mzTWAxKtltpkpLc,https://p.scdn.co/mp3-preview/a03bc191d3c0815925d30eac82bcaaccfb992562?cid=dc103043f05746ba809bc490afdc3fe6,latin pop,54.1,https://i.scdn.co/image/ab67616d0000b273610c6b200ecf596166c50d90,92.003,2021-04-29
259,Si Hay Futuro,La Polla Records,0ma4A4O4B5Mdv1Ahkzhy6v,https://p.scdn.co/mp3-preview/8d1204366ff272877496d9696b69e74f8e7155e7?cid=dc103043f05746ba809bc490afdc3fe6,spanish punk,86.7,https://i.scdn.co/image/ab67616d0000b2736b153df6e02139464e95342e,151.555,1986
260,Alitas de mar (feat. Juanito Makandé),Tu otra bonita,7ikoui4eGrHzzcOEaXtdZQ,https://p.scdn.co/mp3-preview/3b7e43ab7217a823f56ad521591643f8d7dd0b80?cid=dc103043f05746ba809bc490afdc3fe6,flamenco fusion,60.5,https://i.scdn.co/image/ab67616d0000b273b6cb5ad0f6fa78b3bc890f6d,157.838,2021-03-12
261,Planeta Eskoria,Ska-P,1gU2mB0VSVvEe97g50QpYo,https://p.scdn.co/mp3-preview/f0e8067d55e989e65b8bfbd98377e71225e7857c?cid=dc103043f05746ba809bc490afdc3fe6,ska,83.6,https://i.scdn.co/image/ab67616d0000b273fd082c02c7c56459df56ff2a,156.068,2000-10-09
262,Abusadora,Wisin & Yandel,6Zdjh0uRQPt22BPckJgvEj,null,electro latino,78.60000000000001,https://i.scdn.co/image/ab67616d0000b273f2c16a50e33a97850f1692c1,114.996,2009-01-01
263,Auto Rojo,Vilma Palma e Vampiros,5PSCWHpXi8I45NXURHyhBA,https://p.scdn.co/mp3-preview/00f8f3c34cef15dcc32de725d6003fb540ecd059?cid=dc103043f05746ba809bc490afdc3fe6,argentine rock,82.0,https://i.scdn.co/image/ab67616d0000b27354093f2cb7fb82bcd7f30539,104.527,1993
264,Fireball (feat. John Ryan),Pitbull,4Y7XAxTANhu3lmnLAzhWJW,https://p.scdn.co/mp3-preview/1f944fd228624911b8162ebfc90647863faf9415?cid=dc103043f05746ba809bc490afdc3fe6,dance pop,93.30000000000001,https://i.scdn.co/image/ab67616d0000b2731e340d1480e7bb29a45e3bd7,122.959,2014-11-21
265,Mi espíritu imperecedero,Extremoduro,47mkNEdDxgp89XMETs9mtp,https://p.scdn.co/mp3-preview/b56eb103f8aa1e861f4ea6245e27f556889c1cc1?cid=dc103043f05746ba809bc490afdc3fe6,indie extremena,75.4,https://i.scdn.co/image/ab67616d0000b2734db5099df3d763840e1634a9,158.172,2011-05-24
266,I Feel It Coming (feat. Daft Punk),The Weeknd,1xKmuewA07YRyiSPNQLFEo,https://p.scdn.co/mp3-preview/6c8c92d042ae8fd74f4f8f9c2d68dc2ddcfea3a2?cid=dc103043f05746ba809bc490afdc3fe6,canadian contemporary r&b,69.69999999999999,https://i.scdn.co/image/ab67616d0000b273d433b7a9c3e580151d212e96,92.998,2017-04-25
267,Free Your Body,Chris Lake,5TQxS54o7gw5KOxikHxnUi,https://p.scdn.co/mp3-preview/cea0c9f88152e6f52b29114b3d1e4dd976e86358?cid=dc103043f05746ba809bc490afdc3fe6,bass house,92.2,https://i.scdn.co/image/ab67616d0000b273d42d8b045eed5b6eca1c598a,124.995,2019-10-04
268,Consumo Gusto,Ska-P,0sNwv0cBkQCtvAfjzJZbQ8,https://p.scdn.co/mp3-preview/77b53902a8031eaf2f2c05928b4480d74fb50ab5?cid=dc103043f05746ba809bc490afdc3fe6,ska,94.19999999999999,https://i.scdn.co/image/ab67616d0000b2732813966d85042c330f53e9fc,152.101,2002-05-27
269,Vivir Mi Vida,Marc Anthony,3QHMxEOAGD51PDlbFPHLyJ,https://p.scdn.co/mp3-preview/342a16ddbdda09143fd707275879f395ed28d047?cid=dc103043f05746ba809bc490afdc3fe6,latin pop,87.7,https://i.scdn.co/image/ab67616d0000b27321be16e998effa9f1f4b63a9,105.018,2013-07-23
270,Gangnam Style,PSY,03UrZgTINDqvnUMbbIMhql,null,k-pop,93.7,https://i.scdn.co/image/ab67616d0000b2736cfc57e5358c5e39e79bccbd,132.067,2012-01-01
272,Powerful (feat. Ellie Goulding & Tarrus Riley),Major Lazer,0BcP3FTTxSty93nTnB2a9H,https://p.scdn.co/mp3-preview/8acf0ba715df64562dc0834493f7a6249da253f8?cid=dc103043f05746ba809bc490afdc3fe6,edm,79.2,https://i.scdn.co/image/ab67616d0000b273ed17a14e09145f2986a42726,97.479,2015-11-27
273,Vahos del Ayer,Flema,1A6ETm7oNSZ5SRr6uuvKdx,https://p.scdn.co/mp3-preview/5c9afc7fcf50d0d77cf464d2df69b0cb263c8055?cid=dc103043f05746ba809bc490afdc3fe6,argentine metal,88.4,https://i.scdn.co/image/ab67616d0000b273604d52e18a463a81e50abe20,115.18,1997-01-01
274,Me Matan Limón!,Patricio Rey y Sus Redonditos de Ricota,7h0wz5amgGNqbcGOo9ebXD,https://p.scdn.co/mp3-preview/afaf3443925fa492535a41d560930c6a027bec68?cid=dc103043f05746ba809bc490afdc3fe6,argentine rock,72.5,https://i.scdn.co/image/ab67616d0000b273b746ff7b1232a2e242f8b439,121.071,1996-10-07
275,The Trip,Still Corners,6mxTH1ebYmEQyWAbSY1LeG,https://p.scdn.co/mp3-preview/d2c7d286d8034981a6f7fd3e28b556cf34d63315?cid=dc103043f05746ba809bc490afdc3fe6,chillwave,73.6,https://i.scdn.co/image/ab67616d0000b273d3c1fef993a5dc922ec7bff9,120.0,2013-05-07
276,Gracias,Despistaos,4e3ez19QXA5FIN60pTKTIQ,https://p.scdn.co/mp3-preview/921d1b987bba8b2653744011a933f4aa5e908e35?cid=dc103043f05746ba809bc490afdc3fe6,spanish rock,73.4,https://i.scdn.co/image/ab67616d0000b27386056cb034334cedf81ee6fa,175.999,2010-04-27
277,Chinga Tu Madre,Molotov,3LQT2LIgO7xOvtwg4KpYan,null,latin alternative,90.8,https://i.scdn.co/image/ab67616d0000b273d8e0db602f1a0f6c5e71b2df,95.836,1997-01-01
278,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,7nKBxz47S9SD79N086fuhn,https://p.scdn.co/mp3-preview/f6469b27bd1089816b526cbc1a9de3d96a66022f?cid=dc103043f05746ba809bc490afdc3fe6,latin,82.19999999999999,https://i.scdn.co/image/ab67616d0000b273f634ce4f69fc4a7113d35217,91.011,2017-02-24
279,Killshot,Eminem,1jo3TwNGCXfNdB5uba3ZVv,null,hip hop,65.10000000000001,https://i.scdn.co/image/ab67616d0000b273ebd4158db192228a77d8c2a4,105.835,2018-09-19
280,Hoja En Blanco (feat. Alexandra),Monchy & Alexandra,0wDEs6WvqDHq4XJZC0dHhO,https://p.scdn.co/mp3-preview/94b642f670afee5395f8c20ad1530fd07a8b3422?cid=dc103043f05746ba809bc490afdc3fe6,bachata,77.2,https://i.scdn.co/image/c88ecd17387b1733226d728ef621bb91bf85f062,135.063,2007-02-05
281,Dragostea Din Tei,O-Zone,2c3sKqWYVJ0NsE3elgRhKH,https://p.scdn.co/mp3-preview/0bea34c611978006c7b952c4e011e000c2fbd58a?cid=dc103043f05746ba809bc490afdc3fe6,bubblegum dance,96.5,https://i.scdn.co/image/ab67616d0000b273ee3eac204b60aa485875b926,130.103,2004-06-06
282,Radio Clandestina,La Raíz,4eoMumgTE1bYZxiRqTN4df,https://p.scdn.co/mp3-preview/aba3ae123207d83e6ea5dd844750ed8638978d89?cid=dc103043f05746ba809bc490afdc3fe6,musica catalana,77.4,https://i.scdn.co/image/ab67616d0000b273c73b3488da4b9abf2697436a,149.952,2016-03-11
283,Pose,Daddy Yankee,7MmVXDISr1AEsJTjNiAlMG,https://p.scdn.co/mp3-preview/19fb69357717a650960026f70ecc616fd8a4c8e9?cid=dc103043f05746ba809bc490afdc3fe6,reggaeton,88.1,https://i.scdn.co/image/ab67616d0000b273522f64d160907ff8a7b61bc7,117.037,2008-08-12
284,Tú Me Dejaste De Querer,C. Tangana,5ddFjrPG8NgQQ6xlOQIVd2,https://p.scdn.co/mp3-preview/db1af778ce9e9de9c476f323c2f63dec2f58f108?cid=dc103043f05746ba809bc490afdc3fe6,urbano espanol,72.3,https://i.scdn.co/image/ab67616d0000b273a408c78e231f716383a58eb3,83.97,2021-02-26
285,Toxicity,System Of A Down,0snQkGI5qnAmohLE7jTsTn,https://p.scdn.co/mp3-preview/89e93c71655e81579d011e4521f7b6e9db173834?cid=dc103043f05746ba809bc490afdc3fe6,alternative metal,87.3,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578,116.68,2001-09-04
286,Mi Palpitar (feat. Maka),El Suso,4GYzkRxqaHNSqKIg5HDrma,https://p.scdn.co/mp3-preview/137fa27ee95466a271af5877cac1cce30710a3fd?cid=dc103043f05746ba809bc490afdc3fe6,pop flamenco,83.5,https://i.scdn.co/image/ab67616d0000b273e77511ba1478569bad943e2c,95.845,2017-02-24
287,Ella Se Fue,Kinto Sol,02LnwwnaanFpM5dZNArPBb,https://p.scdn.co/mp3-preview/48f5bec62244548e8cf60954a604559b2d171367?cid=dc103043f05746ba809bc490afdc3fe6,chicano rap,79.0,https://i.scdn.co/image/ab67616d0000b273e08bd45210343002a1d06eee,93.996,2005-01-01
288,Pasarela,Daddy Yankee,7uUYUy2qLfev9ppNvFBHpX,null,reggaeton,89.3,https://i.scdn.co/image/ab67616d0000b27329866617908a958f41917d76,121.035,2012-01-01
289,Limbo,Daddy Yankee,3pDhN3qB33AOPhQEkUCaWt,null,reggaeton,87.5,https://i.scdn.co/image/ab67616d0000b27329866617908a958f41917d76,125.063,2012-01-01
290,Partiendo la Pana,Estopa,4BtggpHp17Ak3RP0LITrue,https://p.scdn.co/mp3-preview/d6b6366323e47ae8464840a99e06a4128051c201?cid=dc103043f05746ba809bc490afdc3fe6,spanish pop,69.3,https://i.scdn.co/image/ab67616d0000b27353b851ba6d8ce3ab11d9824c,130.904,2001-10-23
291,Just A Lil Bit,50 Cent,4nva9EpKntUTs6CRSGBCn9,null,hip hop,69.19999999999999,https://i.scdn.co/image/ab67616d0000b27391f7222996c531b981e7bb3d,96.946,2005-03-03
292,Donde todo empieza,Fito y Fitipaldis,2MkxK1WxT9mB7U28TzM94a,https://p.scdn.co/mp3-preview/4f51100969aa5582c602a3a98eabd7a519550002?cid=dc103043f05746ba809bc490afdc3fe6,cantautor,59.9,https://i.scdn.co/image/ab67616d0000b273c78c3bfdd0f4b88b9dc2fcb8,155.384,2006-09-11
293,El Perdedor,Maluma,1iEwyiSLAunPR6uouANE0O,https://p.scdn.co/mp3-preview/decf0ee7cfc1e2efc9aebec292426f8d02e2a641?cid=dc103043f05746ba809bc490afdc3fe6,reggaeton,73.0,https://i.scdn.co/image/ab67616d0000b2733c3acd23605ccd1a9fd038bd,173.967,2015-10-30
294,Del Mar (Solo Version),Ozuna,0fy1zbusOeX2ZWbCmsShuc,https://p.scdn.co/mp3-preview/1611941593d316a0da97bd9a45640ee815dc180a?cid=dc103043f05746ba809bc490afdc3fe6,reggaeton,59.199999999999996,https://i.scdn.co/image/ab67616d0000b273b1717c201d31ad8e43dedc55,110.005,2020-09-04
295,Olivia (feat. Mario Diaz),La Pegatina,1Vliofk1aqh925sE4OuTlI,https://p.scdn.co/mp3-preview/92cf52dbba29b17d295fed3e51089c6c9dfca242?cid=dc103043f05746ba809bc490afdc3fe6,rumba,75.3,https://i.scdn.co/image/ab67616d0000b27388064380c40ffee34e1a9d96,116.056,2013-07-10
296,Breaking Bad,Leiva,0aePOPP6t864hWQGL8izY5,https://p.scdn.co/mp3-preview/ae54046d5ea407c9b0bd2bd0cf056806e0298545?cid=dc103043f05746ba809bc490afdc3fe6,spanish pop,72.39999999999999,https://i.scdn.co/image/ab67616d0000b2734c476ba021b50004f16031af,143.989,2016-08-26
